"OTU","Sample","Abundance","Category","Treatment","Kingdom","Phylum"
"5515","MP2047",79.9565481880594,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2047",11.7684887459807,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2047",8.20544016685496,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2047",0.0695228991048927,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2048",82.4792976776041,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2048",10.2397111014258,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2048",7.22495485959778,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2048",0.0560363613722682,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2049",78.986871912443,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2049",12.1318813286389,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2049",8.84030677693169,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2049",0.0409399819864079,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2050",80.4425899400054,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2050",11.4083162068464,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2050",8.09304353241577,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2050",0.0560503207323909,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2057",83.1889545787415,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2057",9.60133602443424,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2057",7.14719488452677,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2057",0.0625145122974976,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2058",79.83061913213,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2058",11.5688420123403,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2058",8.55364187256894,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2058",0.0468969829607629,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2059",81.7051547713144,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2059",10.4996688812459,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2059",7.74604259682553,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2059",0.0491337506141719,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2060",83.2563279605921,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2060",9.53690967446126,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2060",7.1691414194853,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2060",0.0376209454613856,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2067",79.364195812846,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2067",12.3790085660389,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2067",8.18670047726546,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2067",0.0700951438496665,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2068",80.4462139423077,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2068",11.5234375,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2068",7.98452524038461,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2068",0.0458233173076923,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2069",79.568276303166,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2069",11.7610062893082,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2069",8.61848417013112,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2069",0.052233237394734,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2070",84.3800203798735,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2070",9.08005985440325,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2070",6.49310113741726,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2070",0.0468186283059919,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2077",82.6166303714382,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2077",10.1754439775481,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2077",7.16191761494341,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2077",0.0460080360703003,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2078",84.1108120080417,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2078",9.22240774184755,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2078",6.60544519030906,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2078",0.0613350598016833,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2087",81.453393982829,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2087",10.6631466557459,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2087",7.83592458791008,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2087",0.0475347735150868,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2089",81.0993983246706,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2089",10.8457585302349,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2089",8.00803533989293,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2089",0.0468078052015174,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2090",86.2792557669641,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2090",7.89800471459842,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2090",5.78695908402088,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2090",0.0357804344165684,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2097",78.9388502939156,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2097",12.4696541720742,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2097",8.53347583785022,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2097",0.0580196961600122,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2098",77.878177919748,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2098",12.8090403885704,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2098",9.21870213976283,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2098",0.0940795519187853,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2099",84.7902822326923,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2099",8.7171380776255,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2099",6.4519099433693,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2099",0.0406697463128655,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2100",79.2928802364466,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2100",11.970804945398,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2100",8.68081091206794,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2100",0.0555039060873909,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2107",85.4441835436846,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2107",8.52778593092652,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2107",5.98522649447217,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2107",0.04280403091674,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2108",85.3767979710196,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2108",8.29150630509196,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2108",6.28558253374244,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2108",0.046113190145966,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2110",85.4009046875625,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2110",8.30230975541411,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2110",6.25675513390177,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2110",0.0400304231215724,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2117",77.3819048707607,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2117",13.1900788661561,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2117",9.37413255392453,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2117",0.0538837091585977,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2118",81.5372187259769,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2118",10.6033954839802,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2118",7.82550912715475,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2118",0.0338766628881158,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2119",80.939439691327,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2119",10.9931219594028,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2119",8.0154336520718,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2119",0.0520046971984566,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2120",81.8500851788756,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2120",10.2044293015332,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2120",7.88926746166951,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2120",0.0562180579216354,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2127",76.2697238658777,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2127",14.6850345167653,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2127",9.00825936883629,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2127",0.0369822485207101,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2128",81.7882264962258,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2128",10.4694912481597,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2128",7.6861956953565,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2128",0.0560865602579982,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2129",80.7100002165955,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2129",11.1156836838571,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2129",8.12233316727674,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2129",0.0519829322705712,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2130",80.2023993029958,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2130",11.5541853763153,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2130",8.19315059312379,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2130",0.0502647275651766,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2138",85.2073600915244,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2138",7.84250166841453,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2138",6.89674897511679,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2138",0.0533892649442273,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2139",84.0449438202247,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2139",9.35764256942972,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2139",6.51473394106424,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2139",0.0826796692813229,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MP2140",81.9851309365291,"cropHealthy","Healthy","Eukaryota","Ascomycota"
"4785","MP2140",10.424988903684,"cropHealthy","Healthy","Eukaryota","Oomycota"
"84751","MP2140",7.53717265867732,"cropHealthy","Healthy","Eukaryota","Basidiomycota"
"6035","MP2140",0.0527075011096316,"cropHealthy","Healthy","Eukaryota","Microsporidia"
"5515","MD2055",81.4226288191511,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2055",10.7215147506495,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2055",7.80166711824427,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2055",0.0541893119551185,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2056",78.1419507071637,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2056",12.6829057738515,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2056",9.12334719364632,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2056",0.0517963253384746,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2065",82.9969492752374,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2065",9.78300211999517,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2065",7.17351212533825,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2065",0.0465364794291525,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2066",83.303776862285,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2066",9.53900999463436,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2066",7.11446993879537,"cropWilted","Wilted","Eukaryota","Basidiomycota"
